measurement_index,repeat,R_H_raw,R_xx_raw
0,1,1.55694003894e-12,2.85248288352e-12
1,1,1.76089057001e-12,2.86655394345e-12
2,1,1.90770240867e-12,3.47981095804e-12
3,1,2.10584770213e-12,3.84937326883e-12
4,1,2.73497475137e-12,4.42455013003e-12
5,1,2.927010971e-12,4.47783673301e-12
6,1,3.17978693818e-12,4.44002235138e-12
7,1,3.26055565863e-12,4.78357040168e-12
8,1,3.3947201629e-12,4.93141575397e-12
9,1,3.79358001924e-12,5.18484073486e-12
10,1,4.11429642805e-12,5.53634759086e-12
11,1,4.67558717326e-12,6.11371033011e-12
12,1,4.90144442114e-12,6.03830373707e-12
13,1,4.85262309581e-12,6.31501630242e-12
14,1,5.39381992373e-12,6.56601441206e-12
15,1,5.47880440011e-12,6.6393509221e-12
16,1,5.49386506901e-12,6.95979021617e-12
17,1,5.60790793048e-12,7.07675751122e-12
18,1,7.58146449446e-12,8.59193503715e-12
19,1,9.46070593161e-12,1.07977474838e-11
20,1,9.50309849466e-12,1.11160879554e-11
21,1,1.01190490167e-11,1.19664799558e-11
22,1,1.05398073026e-11,1.29047489473e-11
23,1,1.05882112267e-11,1.32108659224e-11
24,1,1.08119129391e-11,1.41972152071e-11
25,1,1.08960497248e-11,1.49670536138e-11
26,1,1.01484384231e-11,1.76436644186e-11
27,1,8.88436511845e-12,1.90525449405e-11
28,1,8.18561879996e-12,1.96027745203e-11
29,1,7.95553777442e-12,1.94646483185e-11
30,1,7.8363279917e-12,1.95864191058e-11
31,1,7.78501320592e-12,1.98927839643e-11
32,1,6.6127160451e-12,2.04905555114e-11
33,1,5.48200794928e-12,2.07051085909e-11
34,1,-1.7635328034e-12,2.13205675017e-11
35,1,-2.30888197179e-12,2.10266643499e-11
36,1,-6.76931390599e-12,2.02238440223e-11
37,1,-9.76149657791e-12,1.84090165977e-11
38,1,-1.05236537958e-11,1.71020121954e-11
39,1,-1.04355588493e-11,1.73952350657e-11
